,phrase,label,sentiment,subjectivity,language,count
2025,2025,CARDINAL,,,en,6.299999999999997
two,two,CARDINAL,,,en,5.299999999999995
one,one,CARDINAL,,,en,4.300000000000002
first,first,ORDINAL,,,en,4.200000000000002
2023,2023,CARDINAL,,,en,3.7000000000000006
millions,millions,CARDINAL,,,en,3.6999999999999997
summer,summer,DATE,,,en,3.3000000000000007
3,3,CARDINAL,,,en,3.3000000000000003
Thursday,Thursday,DATE,,,en,3.1
Halloween,Halloween,DATE,,,en,2.8000000000000016
2024,2024,DATE,,,en,2.5000000000000013
Hurricane Melissa,Hurricane Melissa,EVENT,,,en,2.5000000000000013
four,four,CARDINAL,,,en,2.200000000000001
today,today,DATE,,,en,2.200000000000001
annual,annual,DATE,,,en,2.1500000000000004
10,10,CARDINAL,,,en,2.100000000000001
hours,hours,TIME,,,en,2.1000000000000005
three,three,CARDINAL,,,en,2.000000000000001
One,One,CARDINAL,,,en,2.000000000000001
Tuesday,Tuesday,DATE,,,en,2.000000000000001
Millions,Millions,CARDINAL,,,en,2.0
this week,this week,DATE,,,en,1.9000000000000008
Wednesday,Wednesday,DATE,,,en,1.9000000000000008
Indian,Indian,NORP,,,en,1.9000000000000001
5 degrees,5 degrees,QUANTITY,,,en,1.9
each year,each year,DATE,,,en,1.9
Saturday,Saturday,DATE,,,en,1.8000000000000007
2021,2021,CARDINAL,,,en,1.8000000000000007
October,October,DATE,,,en,1.8000000000000007
5,5,CARDINAL,,,en,1.8000000000000007
early next week,early next week,DATE,,,en,1.8
Thanksgiving,Thanksgiving,DATE,,,en,1.7000000000000006
Christmas,Christmas,DATE,,,en,1.7000000000000006
a decade ago,a decade ago,DATE,,,en,1.7000000000000006
morning,morning,TIME,,,en,1.7000000000000006
Today,Today,DATE,,,en,1.6000000000000005
Monday,Monday,DATE,,,en,1.6000000000000005
six,six,CARDINAL,,,en,1.6000000000000005
winter,winter,DATE,,,en,1.6000000000000005
1968,1968,DATE,,,en,1.5000000000000004
1970,1970,CARDINAL,,,en,1.5000000000000004
85,85,CARDINAL,,,en,1.5000000000000004
9,9,CARDINAL,,,en,1.5000000000000004
2020,2020,DATE,,,en,1.5000000000000004
the decade,the decade,DATE,,,en,1.5000000000000004
American,American,NORP,,,en,1.5000000000000004
1,1,CARDINAL,,,en,1.5000000000000004
8,8,CARDINAL,,,en,1.4000000000000004
2006,2006,DATE,,,en,1.4000000000000004
Southern,Southern,NORP,,,en,1.4000000000000004
Three,Three,CARDINAL,,,en,1.4000000000000004
3D,3D,PRODUCT,,,en,1.4000000000000004
1971,1971,DATE,,,en,1.4000000000000004
946,946,CARDINAL,,,en,1.4000000000000004
First,First,ORDINAL,,,en,1.4000000000000004
25,25,CARDINAL,,,en,1.4000000000000004
4,4,CARDINAL,,,en,1.3000000000000003
250,250,CARDINAL,,,en,1.3000000000000003
29,29,CARDINAL,,,en,1.3000000000000003
this holiday season,this holiday season,DATE,,,en,1.3000000000000003
Americans,Americans,NORP,,,en,1.3000000000000003
second,second,ORDINAL,,,en,1.3000000000000003
2026,2026,DATE,,,en,1.3000000000000003
Celtic,Celtic,NORP,,,en,1.3000000000000003
half,half,CARDINAL,,,en,1.3000000000000003
Seven,Seven,CARDINAL,,,en,1.3000000000000003
2022,2022,DATE,,,en,1.3000000000000003
Western,Western,NORP,,,en,1.3000000000000003
day,day,DATE,,,en,1.3000000000000003
Russian,Russian,NORP,,,en,1.3000000000000003
the year,the year,DATE,,,en,1.3000000000000003
Chadster,Chadster,FAC,-0.7636363636363637,2.0909090909090904,en,1.3000000000000003
2050,2050,DATE,,,en,1.2000000000000002
1986,1986,DATE,,,en,1.2000000000000002
10%,10%,PERCENT,,,en,1.2000000000000002
26,26,CARDINAL,,,en,1.2000000000000002
dozens,dozens,CARDINAL,,,en,1.2000000000000002
at least five,at least five,CARDINAL,,,en,1.2000000000000002
two decades,two decades,DATE,,,en,1.2000000000000002
1977,1977,DATE,,,en,1.2000000000000002
Brazilian,Brazilian,NORP,,,en,1.2000000000000002
22 Ounce Water Bottle,22 Ounce Water Bottle,QUANTITY,,,en,1.2000000000000002
Winter,Winter,DATE,,,en,1.2000000000000002
28,28,CARDINAL,,,en,1.2000000000000002
2C,2C,CARDINAL,,,en,1.2000000000000002
MR50,MR50,PRODUCT,,,en,1.2000000000000002
Two,Two,CARDINAL,,,en,1.2000000000000002
Night,Night,TIME,,,en,1.2000000000000002
every year,every year,DATE,,,en,1.2000000000000002
hundreds of thousands,hundreds of thousands,CARDINAL,,,en,1.2000000000000002
20,20,CARDINAL,,,en,1.2000000000000002
this year,this year,DATE,,,en,1.2000000000000002
third,third,ORDINAL,,,en,1.2000000000000002
1967,1967,DATE,,,en,1.2000000000000002
17,17,CARDINAL,,,en,1.2000000000000002
German,German,NORP,,,en,1.2000000000000002
monthly,monthly,DATE,,,en,1.2000000000000002
January,January,DATE,,,en,1.2000000000000002
Canadian,Canadian,NORP,,,en,1.2000000000000002
yesterday,yesterday,DATE,,,en,1.2000000000000002
70,70,CARDINAL,,,en,1.2000000000000002
this spooky season,this spooky season,DATE,,,en,1.2000000000000002
QA50,QA50,PRODUCT,,,en,1.2000000000000002
1976,1976,DATE,,,en,1.2000000000000002
British,British,NORP,,,en,1.2000000000000002
years,years,DATE,,,en,1.2000000000000002
night,night,TIME,,,en,1.2000000000000002
afternoon,afternoon,TIME,,,en,1.2000000000000002
daily,daily,DATE,,,en,1.2000000000000002
the holiday season,the holiday season,DATE,,,en,1.2000000000000002
the Great Barrier Reef,the Great Barrier Reef,EVENT,,,en,1.2000000000000002
months,months,DATE,,,en,1.2000000000000002
English,English,NORP,,,en,1.2000000000000002
Friday,Friday,DATE,,,en,1.2000000000000002
1973,1973,DATE,,,en,1.2000000000000002
This week,This week,DATE,,,en,1.2000000000000002
14,14,CARDINAL,,,en,1.2000000000000002
thousands,thousands,CARDINAL,,,en,1.2000000000000002
the end of the century,the end of the century,DATE,,,en,1.2000000000000002
2035,2035,DATE,,,en,1.1
100,100,CARDINAL,,,en,1.1
the holidays,the holidays,DATE,,,en,1.1
They Shall Take Up the Serpents,They Shall Take Up the Serpents,WORK_OF_ART,,,en,1.1
more long day,more long day,DATE,,,en,1.1
tonight,tonight,TIME,,,en,1.1
100—our,100—our,CARDINAL,,,en,1.1
"Wednesday, October 22","Wednesday, October 22",DATE,,,en,1.1
Nespresso,Nespresso,PRODUCT,,,en,1.1
"Rs 70,000","Rs 70,000",PRODUCT,,,en,1.1
Appalachian,Appalachian,NORP,,,en,1.1
Four,Four,CARDINAL,,,en,1.1
91,91,CARDINAL,,,en,1.1
150,150,MONEY,,,en,1.1
French,French,NORP,,,en,1.1
60,60,MONEY,,,en,1.1
2,2,CARDINAL,,,en,1.1
winters,winters,DATE,,,en,1.1
2018,2018,DATE,,,en,1.1
Chernihiv,Chernihiv,NORP,,,en,1.1
fourth,fourth,ORDINAL,,,en,1.1
13,13,CARDINAL,,,en,1.1
the week,the week,DATE,,,en,1.1
14-oz,14-oz,CARDINAL,,,en,1.1
6.9,6.9,CARDINAL,,,en,1.1
89.99,89.99,MONEY,,,en,1.1
7,7,CARDINAL,,,en,1.1
sixth,sixth,ORDINAL,,,en,1.1
The other morning,The other morning,TIME,,,en,1.1
Vespa,Vespa,EVENT,,,en,1.1
Vespa GTS,Vespa GTS,PRODUCT,,,en,1.1
CT70 Trail,CT70 Trail,PRODUCT,,,en,1.1
four years,four years,DATE,,,en,1.1
Nov. 5,Nov. 5,DATE,,,en,1.1
Grade A Auto Parts,Grade A Auto Parts,EVENT,,,en,1.1
Moskovsky Station,Moskovsky Station,FAC,,,en,1.1
Oblivion,Oblivion,LAW,,,en,1.1
1933,1933,DATE,,,en,1.1
five,five,CARDINAL,,,en,1.1
16,16,CARDINAL,,,en,1.1
15,15,CARDINAL,,,en,1.1
Louisville Airport,Louisville Airport,FAC,,,en,1.1
"Jan. 7, 2026","Jan. 7, 2026",DATE,,,en,1.1
25 Years,25 Years,DATE,,,en,1.1
2.8-liter,2.8-liter,CARDINAL,,,en,1.1
September 2025,September 2025,DATE,,,en,1.1
the Paris Agreement,the Paris Agreement,LAW,,,en,1.1
one year,one year,DATE,,,en,1.1
2019,2019,DATE,,,en,1.1
Z50A Mini Trail,Z50A Mini Trail,FAC,,,en,1.1
50,50,CARDINAL,,,en,1.1
10th,10th,ORDINAL,,,en,1.1
90cc,90cc,NORP,,,en,1.1
1974,1974,DATE,,,en,1.1
2D,2D,CARDINAL,,,en,1.1
Monday night,Monday night,TIME,,,en,1.1
15 years,15 years,DATE,,,en,1.1
Black Friday,Black Friday,EVENT,,,en,1.1
Friendsgiving,Friendsgiving,NORP,,,en,1.1
2030,2030,DATE,,,en,1.1
"Nov. 14, 2025","Nov. 14, 2025",DATE,,,en,1.1
the Disneyland Resort,the Disneyland Resort,FAC,,,en,1.1
November 21,November 21,DATE,,,en,1.1
Top 10 Names in College Football,Top 10 Names in College Football,WORK_OF_ART,,,en,1.1
just two years,just two years,DATE,,,en,1.1
hottest year,hottest year,DATE,,,en,1.1
"125,000 years","125,000 years",DATE,,,en,1.1
18,18,CARDINAL,,,en,1.1
